new
1;1;OLD_PROTOCOL;*;*
4;1;AFTERLOGIN;*;
4;3;SYNC;I;I
4;4;MOVEMENT;IhhhhhhBI;IhhhhhhBI
4;5;DEATH;I;I
5;20;SPAWN_ITEM;HhhhhB;HhhhhB
6;6;MESSAGE;ISS;S
6;7;PRIVATE_MESSAGE;BSBS;SS
6;8;TRIBE_MESSAGE;SS;S
6;10;GLOBAL;BSS;
8;1;EMOTION;IB;B
8;2;COMMUNITY;;B
8;43;OPEN_PRESENT;;
8;44;KISS_MISTLETOE;;
8;45;HEART_COUNT;H;
16;1;ENTER_TRIBE_HOUSE;;
16;18;TRIBE_INFO;ISBSSI;
26;26;PING;?;?
28;1;VERSION;;HSH
28;17;CLIENT_INFO;;SSS
28;29;UNK;IS;
28;50;VERIFY;*;BBBBB
28;88;SERVER_RESTART;I;
44;1;BULLE;IS;I
44;2;NEW_FINGERPRINT;SH;
8;2;NOIDEA;B;B
old
4;6;EXPLODE?
4;9;CROUCH
4;10;DUMMY
4;14;CONJURE
4;15;CONJURE_DELETE
5;5;NEW_MAP
5;6;TIME
5;7;SPAWN_ANCHOR
5;8;SHAMAN_BEGIN_SPAWN
5;9;SHAMAN_HALT_SPAWN
5;10;COUNTDOWN
5;17;SNOWBALL?
5;18;ENTER_HOLE
5;19;GET_CHEESE
5;21;ROOM_NAME
5;23;SNOWING
6;17;REDUCE_TIME
6;26;COMMAND
8;5;MOUSE_DEATH
8;6;MOUSE_ENTER_HOLE
8;7;ROOM_PLAYER_LEAVE
8;8;ROOM_NEW_PLAYER
8;9;ROOM_PLAYERS
8;11;FRIEND_ONLINE
8;12;FRIEND_LIST
8;14;TITLE_UNLOCKED
8;15;TITLES
8;16;ATTACH_BALLOON
8;17;SHAMAN_SAVES
8;20;SHAMAN
8;21;SYNC
8;24;AVATAR
8;25;SANTA_SHAMAN
16;4;TRIBE_ACTION
16;14;ACCEPT_TRIBE_INVITATION
16;15;TRIBE_INVITATION
16;16;TRIBE_MEMBERS
16;18;OLD_TRIBE_INFO
16;19;SET_TRIBE_PERMISSIONS
16;20;SET_TRIBE_MOTD
16;21;KICK_TRIBE_MEMBER
16;22;SET_TRIBE_RANK
20;20;SHOP
26;2;SSYNC
26;3;REGISTER_OR_LOGGED_IN
26;4;LOG_IN
26;7;BAN
26;8;LOGGED_IN
26;12;MUSIC
26;18;BANNED
26;22;KIKOO
26;26;OLDPING
26;27;FINGERPRINT
